page_path,images_count,alt_text_compliant,responsive,centered,border_radius_12px,margins_correct,images_exist,markup_standard,overall_status,notes
pages/chiang-mai/cost-of-living.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/digital-nomads.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/getting-around.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/healthcare.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/insurance.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/long-term-living.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/phones-and-banking.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/taxes.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/things-to-do.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/where-to-stay.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/chiang-mai/why-chiang-mai-base.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/culture/customs-traditions-thailand.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/culture/etiquette-when-visiting-a-sak-yant-monk.html,2,вњ…,вњ…,вњ…,вљ пёЏ,вњ…,вњ…,вљ пёЏ,REVIEW,Non-standard markup variant detected
pages/culture/festivals-events-chiang-mai.html,2,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,Legacy image markup; newer image standards-compliant
pages/culture/index.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/culture/sak-yant-chiang-mai.html,5,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,YouTube embed alt-text updated; legacy markup variants present; all CMLocals images compliant
pages/culture/sak-yant-designs-and-meanings.html,4,вњ…,вњ…,вњ…,вљ пёЏ,вњ…,вњ…,вљ пёЏ,REVIEW,Non-standard markup variant detected
pages/culture/sak-yant-getting.html,3,вњ…,вњ…,вњ…,вљ пёЏ,вњ…,вњ…,вљ пёЏ,REVIEW,Non-standard markup variant detected
pages/culture/temple-etiquette.html,2,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,Legacy image markup; needs standardization
pages/culture/thai-culture-etiquette.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/culture/thai-food-culture.html,2,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,Legacy image markup; needs standardization
pages/ed-visas/emergency-self-defence-ed-visa-chiang-mai.html,3,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,ED visa page with alt-text compliant but markup non-standard
pages/ed-visas/hand-to-hand-combat-ed-visa-chiang-mai.html,3,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,ED visa page with alt-text compliant but markup non-standard
pages/ed-visas/muay-thai-ed-visa-chiang-mai.html,5,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,ED visa page with alt-text compliant but markup non-standard
pages/ed-visas/thai-language-ed-visa-chiang-mai.html,3,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,ED visa page with alt-text compliant but markup non-standard
pages/ed-visas/volunteer-non-o-visa-chiang-mai.html,3,вњ…,вљ пёЏ,вљ пёЏ,вљ пёЏ,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,ED visa page with alt-text compliant but markup non-standard
pages/immigration/90-day-reporting.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/address-change.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/blacklist-status.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/common-rejections.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/document-requirements.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/entry-strategy-guide.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/financial-requirements.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/immigration-best-practices.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/index.html,3,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/land-border-vs-air-entry.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/legal-rights.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/overstay-penalties.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/queue-strategy.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/re-entry-permits.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/thailand-digital-arrival-card.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/tm30-address-reporting.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/visa-border-runs.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/immigration/visa-extensions.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/tools/index.html,2,вњ…,вњ…,вњ…,вњ…,вљ пёЏ,вњ…,вљ пёЏ,REVIEW,Minor margin variant detected
pages/visas/guides/entry-requirements-2026.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/guides/extension-vs-re-entry.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/guides/visa-comparisons.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/guides/visa-options-chiang-mai.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/guides/visa-stay-chiang-mai.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/guides/which-visa.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/index.html,4,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/business-visa-non-b-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/index.html,4,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/ltr-long-term-resident-visa-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/marriage-visa-non-o-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/retirement-visa-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/long-stay/thailand-privilege-visa-elite-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/border-runs.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/dtv-destination-thailand-visa-thai-visa-advice-chiang-mai-cmlocals.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/index.html,4,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/tourist-visa.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/visa-exempt-entry.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/visa-extensions.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
pages/visas/short-stay/visa-on-arrival.html,2,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,вњ…,PASS,All Phase 3 images properly implemented
